date,houseprice,salesVolume,household,meanincome,medianincome,bankrate
Jan-95,74435.76,7506.00,,,,6.13
Feb-95,72777.94,6873.00,,,,6.63
Mar-95,73896.84,9639.00,,,,
Apr-95,74455.29,8053.00,,,,
May-95,75432.03,9293.00,,,,
Jun-95,75606.25,10150.00,,,,
Jul-95,75984.24,9445.00,,,,
Aug-95,75529.34,9965.00,,,,
Sep-95,74940.81,9249.00,,,,
Oct-95,74302.08,8586.00,,,,
Nov-95,74117.79,8930.00,,,,
Dec-95,75177.56,9161.00,,,,6.38
Jan-96,75341.92,7690.00,,,,6.13
Feb-96,76086.64,7608.00,,,,
Mar-96,75690.65,9815.00,,,,5.94
Apr-96,76767.25,9416.00,,,,
May-96,77214.88,11110.00,,,,
Jun-96,78138.84,10712.00,,,,5.69
Jul-96,78798.97,12624.00,,,,
Aug-96,79058.30,13021.00,,,,
Sep-96,79752.07,11820.00,,,,
Oct-96,79504.43,12767.00,,,,5.94
Nov-96,80223.97,13342.00,,,,
Dec-96,81416.76,13028.00,2887000.00,,,
Jan-97,83065.74,10762.00,,,,
Feb-97,83579.43,10495.00,,,,
Mar-97,84575.77,11648.00,,,,
Apr-97,86087.56,12206.00,,,,
May-97,88543.68,13154.00,,,,6.25
Jun-97,89231.14,13732.00,,,,6.50
Jul-97,92128.63,15757.00,,,,6.75
Aug-97,92120.05,14233.00,,,,7.00
Sep-97,94180.40,13516.00,,,,
Oct-97,93917.86,14096.00,,,,
Nov-97,95033.86,11985.00,,,,7.25
Dec-97,96862.91,12759.00,2855900.00,,,
Jan-98,97913.84,9867.00,,,,
Feb-98,96944.16,9419.00,,,,
Mar-98,98933.94,11654.00,,,,
Apr-98,101286.82,11829.00,,,,
May-98,101077.47,12242.00,,,,
Jun-98,102890.77,13441.00,,,,7.50
Jul-98,104367.78,14954.00,,,,
Aug-98,104077.53,12931.00,,,,
Sep-98,104611.35,13122.00,,,,
Oct-98,104179.25,12601.00,,,,7.25
Nov-98,104259.50,11801.00,,,,6.75
Dec-98,104784.93,12081.00,2872500.00,,,6.25
Jan-99,105695.32,9310.00,,,,6.00
Feb-99,105273.25,9497.00,,,,5.50
Mar-99,107397.63,12774.00,,,,
Apr-99,109621.22,12763.00,,,,5.25
May-99,111215.71,12722.00,,,,
Jun-99,113318.70,15578.00,,,,5.00
Jul-99,117032.60,18420.00,,,,
Aug-99,119357.86,16329.00,,,,
Sep-99,122610.85,15627.00,,,,5.25
Oct-99,123001.70,15681.00,,,,
Nov-99,125792.49,15251.00,,,,5.50
Dec-99,127917.77,15124.00,2901200.00,,,
Jan-00,130410.61,11333.00,,,,5.75
Feb-00,132705.38,11414.00,,,,6.00
Mar-00,134286.09,14645.00,,,,
Apr-00,140670.27,12667.00,,,,
May-00,140861.84,13099.00,,,,
Jun-00,143541.88,14270.00,,,,
Jul-00,146228.21,13278.00,,,,
Aug-00,147284.26,12690.00,,,,
Sep-00,147316.44,11521.00,,,,
Oct-00,145625.95,11068.00,,,,
Nov-00,147666.33,11301.00,,,,
Dec-00,147483.05,11983.00,2923900.00,25100.00,16600.00,
Jan-01,149543.26,10315.00,,,,
Feb-01,149776.34,9963.00,,,,5.75
Mar-01,150941.35,12882.00,,,,
Apr-01,152865.48,12330.00,,,,5.50
May-01,157155.97,13965.00,,,,5.25
Jun-01,158760.18,15564.00,,,,
Jul-01,161122.28,16048.00,,,,
Aug-01,164628.36,17306.00,,,,5.00
Sep-01,164820.35,13820.00,,,,4.75
Oct-01,166189.35,14320.00,,,,4.50
Nov-01,167213.84,14294.00,,,,4.00
Dec-01,167692.75,11937.00,2963800.00,27100.00,17600.00,
Jan-02,169840.66,10337.00,,,,
Feb-02,170501.57,10786.00,,,,
Mar-02,172748.96,13747.00,,,,
Apr-02,178217.52,14025.00,,,,
May-02,182805.26,17735.00,,,,
Jun-02,186038.32,14368.00,,,,
Jul-02,191162.19,18061.00,,,,
Aug-02,195333.12,17567.00,,,,
Sep-02,197044.85,15091.00,,,,
Oct-02,199092.37,14509.00,,,,
Nov-02,202526.78,14324.00,,,,
Dec-02,203437.45,13443.00,2971400.00,28800.00,18500.00,
Jan-03,207162.34,11365.00,,,,
Feb-03,206464.22,10320.00,,,,3.75
Mar-03,205573.11,10600.00,,,,
Apr-03,207953.36,10380.00,,,,
May-03,210582.56,11169.00,,,,
Jun-03,208940.78,11990.00,,,,
Jul-03,213806.45,13468.00,,,,3.50
Aug-03,212692.17,14417.00,,,,
Sep-03,212900.67,14741.00,,,,
Oct-03,214607.81,15741.00,,,,
Nov-03,215556.16,14754.00,,,,3.75
Dec-03,216971.42,14839.00,2979500.00,28500.00,18800.00,
Jan-04,218855.46,12767.00,,,,
Feb-04,219803.61,12160.00,,,,4.00
Mar-04,221323.75,14409.00,,,,
Apr-04,225862.72,14873.00,,,,
May-04,227330.31,13613.00,,,,4.25
Jun-04,230156.32,16163.00,,,,4.50
Jul-04,233876.86,17612.00,,,,
Aug-04,234835.53,15020.00,,,,4.75
Sep-04,234133.63,13500.00,,,,
Oct-04,232287.07,12031.00,,,,
Nov-04,234718.22,10790.00,,,,
Dec-04,230184.97,10859.00,2963300.00,29100.00,19100.00,
Jan-05,232422.16,8020.00,,,,
